"Date","00:00","00:30","01:00","01:30","02:00","02:30","03:00","03:30","04:00","04:30","05:00","05:30","06:00","06:30","07:00","07:30","08:00","08:30","09:00","09:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","20:30","21:00","21:30","22:00","22:30","23:00","23:30"
2020-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5205,5251,5337,5466,5664,5798,5881,5849,5828,5742,5613,5509,5463,5430,5438,5512,5590,5684,5819,5951,6140,6356,6562,6751,6922,7121,7232,7381,7458,7419,7167,7002,6859,6641,6486,6354,6226,6131,5954
2020-04-23,5764,5596,5424,5328,5276,5246,5217,5209,5193,5233,5278,5345,5488,5700,5825,5906,5850,5822,5738,5621,5584,5550,5606,5615,5638,5705,5757,5827,5917,6058,6227,6379,6592,6731,6950,7082,7322,7388,7311,7073,6960,6826,6576,6461,6280,6175,6083,5921
2020-04-24,5715,5585,5427,5356,5294,5248,5219,5226,5203,5239,5308,5361,5501,5707,5880,5979,5923,5890,5788,5681,5608,5541,5555,5554,5607,5661,5714,5767,5863,6004,6156,6282,6507,6729,6882,6990,7154,7215,7151,6950,6819,6686,6478,6361,6285,6194,6103,5935
2020-04-25,5711,5567,5405,5351,5265,5166,5126,5102,5097,5101,5134,5169,5260,5243,5242,5177,5075,5029,4945,4869,4809,4795,4730,4713,4724,4775,4806,4864,4982,5124,5334,5570,5799,6076,6292,6493,6741,6845,6778,6615,6488,6361,6224,6097,6011,5984,5948,5768
2020-04-26,5603,5458,5323,5239,5184,5139,5133,5110,5105,5103,5089,5107,5134,5190,5191,5146,5079,5093,5099,5005,4921,4881,4812,4780,4792,4830,4898,5024,5173,5300,5476,5704,5977,6239,6522,6722,7005,7056,6979,6793,6662,6527,6352,6179,6050,5964,5905,5700
2020-04-27,5536,5402,5281,5231,5204,5161,5131,5131,5149,5190,5243,5372,5516,5708,5859,5971,5931,5899,5799,5670,5550,5483,5439,5418,5420,5510,5646,5835,6003,6048,6131,6327,6578,6771,6950,7149,7426,7428,7330,7079,6910,6823,6619,6439,6300,6166,6085,5921
2020-04-28,5738,5598,5482,5371,5313,5278,5226,5224,5224,5287,5324,5420,5578,5773,5947,6060,6123,6150,6096,5974,5900,5910,5936,5897,5917,5918,5921,5989,6028,6185,6294,6433,6588,6714,6886,7044,7294,7291,7200,6963,6855,6776,6582,6412,6253,6180,6068,5875
2020-04-29,5609,5477,5357,5282,5271,5279,5240,5213,5212,5255,5323,5470,5598,5768,5916,6088,6070,6019,5897,5836,5759,5816,5766,5666,5690,5716,5756,5820,5884,5988,6090,6283,6526,6684,6911,7094,7315,7350,7255,7019,6900,6753,6531,6352,6281,6164,6085,5933
2020-04-30,5737,5580,5438,5351,5315,5250,5243,5244,5215,5272,5332,5475,5605,5821,5993,6123,6164,6176,6108,5969,5787,5617,5588,5555,5533,5585,5670,5813,5972,6119,6312,6518,6764,6932,7146,7267,7488,7509,7460,7215,7054,6947,6711,6514,6313,6250,6138,5954
2020-05-01,5751,5579,5454,5385,5320,5292,5248,5228,5245,5285,5339,5452,5592,5827,6011,6066,5762,5723,5639,5377,5237,5103,4986,4957,4963,4996,5047,5105,5226,5297,5465,5712,5950,6225,6556,6763,6961,7005,6963,6786,6664,6575,6431,6270,6125,6024,5977,5839
2020-05-02,5640,5505,5372,5276,5203,5158,5124,5091,5091,5100,5111,5190,5251,5315,5370,5374,5288,5194,5026,4902,4789,4641,4503,4375,4378,4365,4418,4484,4623,4784,4970,5234,5544,5874,6151,6400,6681,6721,6695,6542,6437,6369,6159,6055,5963,5882,5836,5661
2020-05-03,5509,5385,5253,5162,5086,5050,5006,4978,4966,4984,5010,5051,5066,5127,5156,5148,5080,5023,4914,4783,4658,4544,4422,4327,4321,4321,4341,4368,4513,4655,4890,5150,5453,5746,6075,6378,6682,6724,6652,6538,6383,6320,6151,6041,5965,5900,5857,5727
2020-05-04,5562,5412,5299,5183,5134,5068,5023,4995,4988,5008,5009,5075,5144,5190,5253,5279,5178,5139,5062,4958,4825,4706,4616,4536,4578,4562,4607,4714,4792,4953,5193,5430,5652,5963,6283,6591,6891,6932,6854,6651,6509,6428,6253,6091,5966,5924,5842,5702
2020-05-05,5548,5381,5290,5212,5132,5101,5075,5054,5062,5134,5210,5362,5552,5780,6015,6126,6053,5900,5682,5445,5257,5114,5085,5036,5032,5129,5212,5283,5322,5491,5607,5808,6076,6274,6600,6889,7223,7236,7137,6950,6841,6684,6498,6325,6190,6075,5989,5794
2020-05-06,5603,5480,5347,5276,5214,5183,5143,5137,5136,5213,5266,5410,5566,5801,6024,6121,6132,6014,5831,5749,5671,5584,5517,5423,5481,5512,5492,5519,5502,5577,5681,5889,6097,6304,6562,6804,7078,7111,7054,6868,6771,6672,6487,6329,6179,6057,5979,5796
2020-05-07,5611,5443,5324,5256,5209,5166,5140,5110,5151,5202,5272,5421,5557,5795,5969,6114,6118,6075,5904,5655,5561,5490,5491,5546,5567,5596,5625,5676,5761,5794,5903,6027,6190,6356,6607,6838,7127,7096,7040,6856,6740,6681,6477,6296,6161,6061,5978,5805
2020-05-08,5660,5504,5356,5279,5226,5196,5156,5149,5152,5179,5258,5435,5605,5822,6011,6117,6073,5972,5847,5671,5563,5472,5435,5381,5390,5401,5446,5478,5547,5643,5762,5933,6152,6334,6548,6687,6941,6945,6893,6670,6593,6512,6344,6177,6068,6015,5971,5841
2020-05-09,5619,5458,5308,5223,5166,5106,5046,5038,5042,5061,5102,5126,5194,5242,5289,5088,5257,5235,5166,5093,4955,4823,4706,4617,4612,4617,4705,4768,4908,5035,5218,5487,5704,5926,6195,6431,6636,6627,6590,6436,6314,6188,6031,5892,5816,5814,5766,5634
2020-05-10,5457,5303,5175,5073,4999,4961,4895,4847,4856,4880,4908,4932,4999,5053,5145,5213,5209,5209,5159,5038,4963,4963,4782,4871,4889,4909,4906,4979,5076,5218,5379,5501,5670,5807,6071,6342,6554,6553,6532,6376,6263,6190,6018,5884,5774,5754,5698,5551
2020-05-11,5369,5210,5085,4992,4917,4874,4860,4843,4842,4903,4954,5122,5266,5546,5804,5980,5900,5725,5520,5266,5063,4913,4808,4769,4765,4793,4824,4911,5044,5213,5411,5620,5879,6116,6443,6726,7033,7034,6958,6726,6601,6469,6273,6113,5958,5858,5757,5591
2020-05-12,5384,5224,5100,5014,4920,4892,4856,4844,4875,4930,5034,5189,5404,5677,5935,6100,6038,5892,5660,5512,5318,5189,5036,4943,5030,5209,5365,5423,5494,5577,5696,5807,6012,6192,6505,6751,7002,7014,6914,6700,6592,6497,6258,6092,5947,5887,5796,5638
2020-05-13,5431,5268,5135,5022,4936,4890,4900,4913,4905,4959,5036,5191,5374,5602,5873,6090,6076,5895,5648,5419,5261,5188,5144,5176,5268,5422,5398,5503,5581,5613,5749,5889,6062,6303,6479,6788,7031,6970,6857,6675,6549,6437,6253,6089,5917,5832,5746,5616
2020-05-14,5437,5269,5145,5062,5010,4980,4956,4948,4958,5006,5110,5253,5402,5671,5930,6101,6035,5876,5653,5438,5246,5192,5190,5192,5273,5420,5590,5673,5710,5833,5902,5957,6118,6292,6550,6809,7040,6997,6934,6735,6618,6534,6356,6171,6033,5915,5849,5669
2020-05-15,5479,5317,5174,5093,5061,5014,4973,4969,4974,5026,5085,5241,5415,5657,5885,6015,5985,5839,5613,5374,5170,5030,4911,4862,4818,4804,4868,4971,5059,5231,5388,5612,5861,6127,6390,6579,6767,6761,6703,6585,6504,6370,6207,6066,5953,5916,5829,5656
2020-05-16,5481,5285,5152,5055,5011,4946,4890,4867,4871,4867,4920,4984,5035,5159,5289,5340,5300,5208,5128,4959,4816,4680,4653,4649,4627,4633,4743,4847,4923,5087,5248,5417,5630,5829,6122,6379,6556,6528,6475,6333,6205,6113,5969,5854,5773,5759,5711,5544
2020-05-17,5367,5238,5097,5003,4919,4853,4782,4775,4787,4829,4834,4896,4942,5011,5098,5157,5097,5076,5018,4930,4846,4777,4785,4785,4800,4836,4774,4743,4803,4970,5173,5378,5611,5855,6167,6475,6753,6741,6680,6519,6405,6287,6109,5986,5881,5790,5709,5551
2020-05-18,5357,5193,5110,5025,4945,4917,4877,4868,4904,4953,5056,5240,5387,5692,5952,6193,6193,6105,5956,5761,5677,5656,5523,5452,5461,5412,5374,5542,5812,5942,6042,6126,6294,6401,6682,6962,7206,7153,7090,6879,6741,6646,6460,6257,6105,6002,5884,5720
2020-05-19,5553,5390,5291,5202,5121,5071,5016,5016,5031,5081,5138,5343,5526,5782,6041,6219,6240,6088,5979,5791,5619,5460,5426,5440,5441,5468,5516,5495,5529,5666,5831,5949,6176,6393,6699,6947,7194,7145,7042,6850,6700,6617,6443,6345,6163,6050,5936,5805
2020-05-20,5632,5476,5328,5261,5177,5086,5070,5067,5065,5105,5191,5350,5534,5832,6100,6382,6466,6402,6340,6282,6195,6198,6139,5989,5948,6060,6077,6165,6225,6369,6446,6487,6589,6719,6910,7162,7265,7180,7082,6913,6840,6691,6518,6313,6141,6035,5940,5772
2020-05-21,5619,5439,5287,5182,5111,5066,5038,5026,5032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
